student_id,faculty,attendance_rate,gpa_sem1,weekly_lms_hours,quiz_avg_score,late_assignments,is_at_risk
STD_0001,FISIP,84.3,3.27,16.1,86.2,0,0
STD_0002,FST,81.5,2.99,11.4,57.6,1,0
STD_0003,FEB,80.2,2.69,18.4,53.1,1,0
STD_0004,FEB,69.1,2.74,8.7,47.4,4,1
STD_0005,FISIP,97.1,4.0,13.6,84.4,1,0
STD_0006,FH,67.5,3.1,12.2,73.3,2,0
STD_0007,FISIP,89.0,3.49,10.2,80.6,1,0
STD_0008,FST,74.7,2.7,6.3,65.3,2,0
STD_0009,FH,79.9,2.71,6.0,52.9,0,0
STD_0010,FST,91.2,3.64,7.4,89.2,2,0
STD_0011,FISIP,94.4,2.43,17.3,60.4,3,1
STD_0012,FH,66.2,2.89,7.4,73.7,2,1
STD_0013,FISIP,82.2,3.12,7.7,57.2,2,1
STD_0014,FTMM,83.0,3.16,14.3,75.6,0,0
STD_0015,FEB,61.7,3.01,8.3,60.7,4,1
STD_0016,FH,86.1,3.3,10.8,72.8,0,0
STD_0017,FEB,66.2,3.45,8.0,83.2,5,0
STD_0018,FTMM,75.3,3.47,26.2,80.1,2,0
STD_0019,FH,78.4,2.61,16.7,55.3,1,1
STD_0020,FEB,79.3,2.96,17.9,69.2,0,0
STD_0021,FEB,68.7,3.7,10.5,71.7,4,0
STD_0022,FH,88.8,3.55,15.7,90.1,0,0
STD_0023,FEB,58.8,2.41,5.8,56.6,1,1
STD_0024,FEB,84.0,3.28,6.6,84.5,1,0
STD_0025,FH,73.8,2.11,4.3,48.0,4,1
STD_0026,FEB,81.3,3.12,11.5,68.3,1,1
STD_0027,FEB,81.4,4.0,11.6,83.9,0,0
STD_0028,FST,68.0,2.63,9.6,69.5,1,1
STD_0029,FST,79.7,2.68,5.4,58.0,0,1
STD_0030,FTMM,78.6,3.48,10.3,84.8,0,0
STD_0031,FST,75.5,2.33,12.3,53.5,0,1
STD_0032,FST,73.6,2.78,9.1,49.9,2,1
STD_0033,FTMM,82.4,3.4,14.7,73.4,0,1
STD_0034,FEB,63.5,2.78,7.2,56.2,5,1
STD_0035,FEB,48.3,2.98,16.0,69.9,2,1
STD_0036,FST,74.8,3.47,12.3,69.9,4,1
STD_0037,FTMM,78.0,3.31,8.0,83.6,0,0
STD_0038,FEB,96.2,3.23,8.1,73.9,0,0
STD_0039,FISIP,81.0,2.93,11.8,67.2,1,0
STD_0040,FH,66.0,3.29,17.2,80.9,2,0
STD_0041,FH,49.9,3.04,9.3,78.5,1,1
STD_0042,FH,79.0,3.33,8.5,76.4,0,0
STD_0043,FST,94.4,2.85,17.8,60.9,0,0
STD_0044,FH,63.4,3.01,12.7,56.0,1,0
STD_0045,FH,71.8,2.61,8.8,56.6,4,1
STD_0046,FISIP,79.6,3.08,10.2,66.7,0,0
STD_0047,FEB,71.8,2.69,6.8,64.7,3,1
STD_0048,FISIP,89.2,2.54,11.0,58.1,1,0
STD_0049,FST,84.4,3.23,9.1,80.1,1,0
STD_0050,FH,60.5,3.21,39.0,69.2,3,0
STD_0051,FEB,80.8,3.49,10.9,79.4,1,0
STD_0052,FH,87.4,2.88,9.8,77.2,1,0
STD_0053,FH,75.1,3.3,11.6,78.8,1,0
STD_0054,FST,60.7,3.38,21.7,77.0,5,0
STD_0055,FH,91.4,3.32,16.3,71.6,0,0
STD_0056,FTMM,64.3,2.69,9.0,58.7,3,1
STD_0057,FEB,68.8,3.17,14.0,66.7,4,0
STD_0058,FEB,83.5,3.28,11.9,71.3,1,0
STD_0059,FTMM,92.6,3.1,10.3,78.1,1,0
STD_0060,FST,93.3,2.06,5.4,49.4,3,1
STD_0061,FH,71.2,3.18,10.1,62.8,2,1
STD_0062,FH,92.1,4.0,9.7,100.0,1,0
STD_0063,FEB,74.2,2.92,20.6,71.0,5,1
STD_0064,FST,77.0,2.74,7.9,53.5,0,1
STD_0065,FST,71.5,3.29,24.8,72.2,5,1
STD_0066,FST,90.9,3.26,11.1,76.0,0,0
STD_0067,FH,47.2,3.7,13.4,97.6,6,1
STD_0068,FST,72.1,2.47,9.6,50.6,0,0
STD_0069,FTMM,91.6,3.47,7.8,87.1,0,0
STD_0070,FISIP,83.3,3.4,9.6,89.1,2,0
STD_0071,FST,96.6,3.03,6.7,65.5,0,0
STD_0072,FISIP,89.5,3.27,12.4,73.2,0,0
STD_0073,FH,72.6,3.61,10.8,74.0,4,1
STD_0074,FST,89.1,3.54,16.1,79.1,2,0
STD_0075,FEB,90.9,2.53,6.6,60.3,1,0
STD_0076,FH,60.1,3.51,8.1,85.5,1,0
STD_0077,FTMM,71.4,3.07,9.3,80.1,2,1
STD_0078,FTMM,68.4,3.14,21.9,66.7,3,1
STD_0079,FISIP,93.0,3.14,13.7,57.0,1,0
STD_0080,FISIP,96.6,3.02,9.3,70.3,0,0
STD_0081,FEB,96.4,3.7,11.8,86.3,3,0
STD_0082,FEB,65.5,3.06,6.6,73.2,2,1
STD_0083,FTMM,84.9,2.54,30.1,58.2,0,0
STD_0084,FST,95.7,2.9,12.4,69.1,0,0
STD_0085,FTMM,71.1,3.19,8.4,85.9,5,0
STD_0086,FTMM,88.3,3.71,12.7,87.3,2,0
STD_0087,FEB,63.5,3.4,7.5,75.0,7,1
STD_0088,FISIP,81.6,2.67,25.6,59.5,0,0
STD_0089,FEB,82.0,4.0,9.2,88.6,2,0
STD_0090,FEB,78.4,3.23,12.7,87.7,1,0
STD_0091,FEB,85.2,3.74,9.2,83.3,1,0
STD_0092,FTMM,75.4,3.02,13.6,70.3,1,0
STD_0093,FST,86.3,3.37,15.7,73.5,2,0
STD_0094,FTMM,83.4,3.52,13.8,89.2,0,0
STD_0095,FH,43.9,3.71,13.1,99.9,2,0
STD_0096,FEB,77.7,3.63,20.6,86.2,0,0
STD_0097,FEB,89.8,3.54,7.6,81.4,1,0
STD_0098,FH,86.5,2.94,8.3,69.1,0,0
STD_0099,FEB,88.2,2.81,7.3,47.2,1,0
STD_0100,FEB,87.0,3.27,33.1,81.3,1,0
STD_0101,FEB,73.6,3.57,10.1,82.4,3,0
STD_0102,FH,89.3,2.99,13.9,73.2,0,0
STD_0103,FTMM,78.0,3.63,14.2,77.0,0,0
STD_0104,FEB,86.2,3.83,9.1,83.5,1,0
STD_0105,FST,83.4,2.64,6.9,59.5,0,1
STD_0106,FH,90.3,2.68,7.3,71.8,0,0
STD_0107,FISIP,74.0,3.03,9.2,67.6,3,0
STD_0108,FH,81.2,3.25,8.1,91.7,0,0
STD_0109,FTMM,73.7,2.84,5.8,70.2,5,0
STD_0110,FH,94.2,3.78,20.2,75.3,1,0
STD_0111,FISIP,94.5,3.31,26.8,75.2,1,0
STD_0112,FST,70.3,3.12,8.7,67.2,10,1
STD_0113,FISIP,58.2,2.38,7.2,40.1,3,1
STD_0114,FH,65.9,2.44,4.9,71.6,3,0
STD_0115,FISIP,41.7,3.24,13.3,80.4,3,1
STD_0116,FH,90.0,2.03,14.5,54.9,0,0
STD_0117,FST,43.5,3.61,8.2,83.4,4,0
STD_0118,FST,62.5,3.02,7.1,59.4,2,1
STD_0119,FTMM,79.4,4.0,17.4,86.1,0,0
STD_0120,FST,68.1,4.0,13.7,96.7,3,0
STD_0121,FEB,74.2,3.01,6.3,61.8,1,0
STD_0122,FISIP,46.7,3.05,11.9,50.7,4,1
STD_0123,FISIP,86.4,3.6,9.4,80.1,1,0
STD_0124,FH,72.6,3.95,10.7,87.9,3,0
STD_0125,FST,67.2,2.28,13.4,56.7,4,1
STD_0126,FTMM,97.3,2.21,14.4,60.0,1,1
STD_0127,FTMM,68.4,2.79,8.6,70.9,4,1
STD_0128,FTMM,96.4,3.39,24.4,79.9,1,0
STD_0129,FEB,66.5,3.35,9.8,86.5,6,0
STD_0130,FST,62.8,3.63,16.1,70.5,5,1
STD_0131,FTMM,91.4,2.5,9.0,64.0,0,1
STD_0132,FEB,66.8,1.94,17.6,53.9,2,1
STD_0133,FISIP,86.5,3.53,21.4,70.7,0,0
STD_0134,FH,90.7,2.69,5.9,51.7,2,1
STD_0135,FST,88.5,2.09,20.7,45.8,1,0
STD_0136,FST,71.9,3.17,16.8,68.2,1,0
STD_0137,FISIP,82.0,3.5,16.4,86.0,0,0
STD_0138,FST,84.0,3.04,7.4,65.9,4,1
STD_0139,FST,45.7,2.87,15.6,60.6,2,1
STD_0140,FST,79.7,3.02,17.4,65.5,1,0
STD_0141,FST,89.9,2.91,7.9,77.2,1,0
STD_0142,FEB,92.1,2.43,23.1,58.6,0,0
STD_0143,FEB,89.2,2.74,5.8,63.4,3,1
STD_0144,FH,79.6,3.36,7.7,76.3,0,0
STD_0145,FST,89.8,3.26,11.1,85.6,0,0
STD_0146,FISIP,75.1,3.18,11.5,67.7,0,0
STD_0147,FTMM,95.6,2.6,11.4,72.6,0,0
STD_0148,FH,89.6,3.01,6.1,71.9,1,1
STD_0149,FTMM,76.0,2.01,23.4,48.9,1,0
STD_0150,FTMM,77.5,3.19,6.7,93.8,2,1
STD_0151,FST,81.7,3.81,8.6,77.8,0,0
STD_0152,FISIP,83.1,2.36,4.8,54.4,2,1
STD_0153,FTMM,90.3,2.81,10.6,56.3,0,0
STD_0154,FTMM,96.2,3.26,22.7,82.9,0,0
STD_0155,FH,72.1,3.73,14.0,98.0,6,0
STD_0156,FISIP,77.1,2.88,16.1,80.9,0,1
STD_0157,FISIP,67.1,2.75,5.6,74.9,1,1
STD_0158,FTMM,68.3,2.12,8.9,50.7,5,1
STD_0159,FISIP,81.5,3.15,10.0,70.1,1,0
STD_0160,FH,73.7,4.0,12.1,76.6,2,0
STD_0161,FH,74.6,3.24,6.9,91.1,8,1
STD_0162,FH,74.5,3.09,13.1,75.5,3,0
STD_0163,FST,71.7,3.26,10.7,71.3,3,0
STD_0164,FTMM,64.8,3.09,14.9,82.5,2,1
STD_0165,FISIP,97.1,2.69,9.4,56.1,2,1
STD_0166,FH,72.2,3.51,8.0,83.5,5,0
STD_0167,FTMM,80.1,3.21,12.7,72.9,2,0
STD_0168,FTMM,86.1,3.11,7.4,77.3,0,0
STD_0169,FST,79.3,2.61,17.6,61.7,0,0
STD_0170,FISIP,92.7,3.75,13.2,73.4,0,0
STD_0171,FISIP,72.8,3.43,7.9,79.3,3,0
STD_0172,FH,61.9,2.82,25.3,74.9,3,0
STD_0173,FH,80.2,3.6,11.6,81.8,0,0
STD_0174,FTMM,61.0,2.85,6.2,73.2,5,1
STD_0175,FISIP,66.9,2.71,11.3,55.8,4,1
STD_0176,FISIP,98.0,2.72,7.2,64.2,0,0
STD_0177,FH,84.6,2.21,14.2,49.3,2,1
STD_0178,FEB,69.7,3.34,16.9,82.7,4,0
STD_0179,FTMM,91.2,2.18,27.5,53.9,2,0
STD_0180,FISIP,62.9,2.49,9.2,65.2,4,0
STD_0181,FST,88.8,2.06,7.8,59.9,1,0
STD_0182,FST,78.5,3.06,14.5,76.7,2,0
STD_0183,FEB,87.1,3.02,6.9,72.7,0,0
STD_0184,FH,89.3,2.94,10.6,60.7,2,0
STD_0185,FH,86.8,2.58,9.9,61.6,0,0
STD_0186,FH,74.0,2.51,5.6,56.0,2,1
STD_0187,FST,68.6,3.33,9.9,73.9,2,1
STD_0188,FH,77.9,2.82,17.2,63.5,1,0
STD_0189,FST,43.8,3.26,18.2,67.3,4,1
STD_0190,FEB,77.9,2.66,5.9,47.5,0,0
STD_0191,FTMM,79.5,3.19,7.0,68.5,0,1
STD_0192,FISIP,79.8,3.75,9.3,86.6,0,0
STD_0193,FEB,74.7,3.39,19.3,67.1,7,1
STD_0194,FST,85.9,2.89,6.6,68.0,0,0
STD_0195,FEB,60.3,3.23,14.1,89.8,3,0
STD_0196,FISIP,79.1,2.98,6.6,77.8,1,0
STD_0197,FTMM,79.4,3.1,12.1,85.2,0,0
STD_0198,FISIP,85.3,2.94,8.5,71.9,0,0
STD_0199,FST,82.2,3.02,15.4,79.7,0,0
STD_0200,FISIP,79.9,3.21,8.0,68.3,1,1
STD_0201,FEB,73.5,2.6,11.3,56.9,3,1
STD_0202,FH,78.5,2.59,6.8,39.9,1,1
STD_0203,FEB,96.5,2.41,12.3,67.6,0,1
STD_0204,FST,98.1,2.3,17.0,68.3,0,0
STD_0205,FTMM,91.9,2.49,5.8,55.4,1,1
STD_0206,FISIP,81.0,3.18,18.4,71.6,1,0
STD_0207,FTMM,77.1,2.65,10.7,57.0,0,1
STD_0208,FST,62.4,3.36,7.5,80.2,3,0
STD_0209,FISIP,85.4,3.12,9.6,81.3,1,0
STD_0210,FEB,71.5,2.12,5.3,38.4,1,1
STD_0211,FEB,56.8,3.43,14.1,81.8,3,1
STD_0212,FST,79.8,3.51,15.5,77.9,0,0
STD_0213,FISIP,97.5,2.6,5.9,63.0,1,0
STD_0214,FEB,61.5,3.31,10.9,79.9,4,0
STD_0215,FST,83.3,2.67,15.5,61.9,0,0
STD_0216,FST,84.0,3.15,22.8,72.1,0,0
STD_0217,FTMM,80.4,2.47,9.3,57.6,0,1
STD_0218,FEB,87.4,2.2,22.4,61.8,1,0
STD_0219,FISIP,65.8,2.91,10.4,71.5,0,0
STD_0220,FEB,75.5,3.04,9.1,72.5,1,0
STD_0221,FEB,81.8,2.9,17.1,57.9,2,0
STD_0222,FEB,67.1,2.51,9.1,57.1,5,1
STD_0223,FST,68.2,2.9,9.6,75.2,3,1
STD_0224,FH,79.2,3.23,10.5,75.0,2,0
STD_0225,FH,73.7,3.08,17.4,76.8,8,0
STD_0226,FTMM,77.6,3.19,17.1,88.0,1,0
STD_0227,FEB,92.0,2.76,8.6,73.6,0,0
STD_0228,FH,85.8,3.69,9.8,84.5,2,0
STD_0229,FTMM,72.9,2.51,9.1,56.2,2,1
STD_0230,FST,82.3,3.34,11.8,56.4,0,0
STD_0231,FEB,60.4,3.69,9.0,82.5,5,0
STD_0232,FISIP,51.6,3.34,16.2,74.2,1,1
STD_0233,FST,77.9,3.0,10.0,73.1,1,0
STD_0234,FTMM,83.9,2.84,8.1,65.5,0,0
STD_0235,FST,90.1,3.62,7.9,79.8,0,0
STD_0236,FISIP,90.5,2.39,6.4,43.5,0,1
STD_0237,FST,90.4,2.61,23.1,54.8,1,0
STD_0238,FTMM,89.8,2.9,8.0,71.8,0,0
STD_0239,FISIP,75.0,3.72,8.5,98.1,0,0
STD_0240,FISIP,68.9,3.29,10.3,75.0,1,0
STD_0241,FST,73.5,2.62,7.4,64.9,2,1
STD_0242,FISIP,74.9,2.94,6.1,76.5,4,0
STD_0243,FST,82.8,2.79,7.9,59.4,0,0
STD_0244,FEB,58.1,2.75,10.2,67.8,1,1
STD_0245,FISIP,91.4,3.59,12.0,75.9,1,0
STD_0246,FST,67.0,2.41,7.5,65.2,4,1
STD_0247,FEB,68.8,3.9,11.4,89.3,2,0
STD_0248,FISIP,81.1,3.51,27.2,82.7,0,0
STD_0249,FEB,77.7,3.65,10.1,76.6,1,0
STD_0250,FISIP,88.2,2.87,7.5,73.0,1,0
STD_0251,FTMM,55.8,3.03,7.7,87.2,4,1
STD_0252,FTMM,73.3,2.38,8.4,49.6,5,1
STD_0253,FST,93.6,2.84,14.2,64.0,1,0
STD_0254,FH,61.5,3.35,8.1,78.8,3,0
STD_0255,FTMM,70.1,3.75,14.9,91.3,3,0
STD_0256,FH,78.9,2.55,5.2,56.5,1,1
STD_0257,FEB,80.4,2.92,9.1,45.7,1,0
STD_0258,FEB,77.0,3.02,15.0,81.4,0,1
STD_0259,FH,86.4,2.4,7.3,64.1,2,0
STD_0260,FST,80.6,3.4,11.8,64.0,1,1
STD_0261,FISIP,57.3,2.74,6.9,59.9,2,1
STD_0262,FH,61.2,3.0,14.1,82.6,3,1
STD_0263,FH,81.3,2.87,6.1,79.1,2,0
STD_0264,FH,74.3,2.71,16.9,71.6,3,1
STD_0265,FH,88.4,3.1,7.5,70.5,1,0
STD_0266,FH,70.7,2.99,18.4,70.5,2,1
STD_0267,FST,88.0,2.91,8.4,67.2,1,0
STD_0268,FTMM,84.3,2.74,13.2,73.7,0,0
STD_0269,FISIP,94.5,3.26,8.8,68.2,0,0
STD_0270,FTMM,77.6,3.93,22.0,82.1,0,0
STD_0271,FH,87.4,3.17,7.2,81.5,0,0
STD_0272,FTMM,73.7,3.6,8.4,81.6,3,0
STD_0273,FST,47.7,2.4,8.9,69.1,3,1
STD_0274,FEB,76.5,3.18,6.9,68.2,2,0
STD_0275,FTMM,67.7,2.55,6.4,60.6,1,0
STD_0276,FISIP,72.3,2.36,22.0,49.9,4,1
STD_0277,FST,49.2,2.73,28.0,64.7,2,0
STD_0278,FEB,88.2,3.7,10.2,72.1,1,0
STD_0279,FST,96.1,3.58,22.6,77.6,0,0
STD_0280,FH,98.5,3.22,11.2,62.9,0,0
STD_0281,FEB,79.6,2.33,6.6,62.2,0,1
STD_0282,FISIP,73.6,3.0,13.3,75.8,6,0
STD_0283,FEB,92.1,3.25,13.0,61.2,1,0
